,Unnamed: 0,Unnamed: 0.1,URL,address,signal,lat,lng
57,57,60,https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html,"5 Blossom St, Boston, MA 02114-3106",finish,42.361695,-71.0666947
58,58,61,https://www.tripadvisor.com/Hotel_Review-g60745-d13351021-Reviews-AC_Hotel_by_Marriott_Boston_Cleveland_Circle-Boston_Massachusetts.html,"395 Chestnut Hill Ave, Boston, MA 02135-7769",finish,42.33477329999999,-71.1502824
59,59,62,https://www.tripadvisor.com/Hotel_Review-g60745-d15618152-Reviews-Cambria_Hotel_Boston_Downtown-Boston_Massachusetts.html,"6 W Broadway, Boston, MA 02127-1016",finish,42.3432437,-71.0569696
60,60,63,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html,"78 Charles St South, Boston, MA 02116-5443",finish,42.3499744,-71.0664443
61,61,65,https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,"88 Exeter St, Boston, MA 02116-3504",finish,42.3485863,-71.0788633
62,62,66,https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,"3 McKinley Square, Boston, MA 02109-2609",finish,42.35903099999999,-71.0535143
63,63,67,https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html,"99 Saint Botolph St, Boston, MA 02116-6404",finish,42.345032,-71.080845
64,64,68,https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html,"107 Merrimac St, Boston, MA 02114-4709",finish,42.3638797,-71.06251569999999
65,65,69,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Studio_Allston_Hotel-Boston_Massachusetts.html,"1234 Soldiers Field Rd, Boston, MA 02135-1002",finish,42.3636727,-71.1363571
66,66,71,https://www.tripadvisor.com/Hotel_Review-g60745-d280420-Reviews-The_College_Club_of_Boston-Boston_Massachusetts.html,"44 Commonwealth Ave, Boston, MA 02116-3104",finish,42.3527545,-71.0733154
