,URL
78,https://www.tripadvisor.com/Restaurant_Review-g60745-d1228651-Reviews-Pho_Basil-Boston_Massachusetts.html
79,https://www.tripadvisor.com/Restaurant_Review-g60745-d322995-Reviews-Cantina_Italiana-Boston_Massachusetts.html
80,https://www.tripadvisor.com/Restaurant_Review-g60745-d941546-Reviews-Morton_s_The_Steakhouse-Boston_Massachusetts.html
81,https://www.tripadvisor.com/Restaurant_Review-g60745-d2249802-Reviews-The_Salty_Pig-Boston_Massachusetts.html
82,https://www.tripadvisor.com/Restaurant_Review-g60745-d1034374-Reviews-Scampo-Boston_Massachusetts.html
83,https://www.tripadvisor.com/Restaurant_Review-g60745-d526410-Reviews-Mr_Dooley_s_Boston_Tavern-Boston_Massachusetts.html
84,https://www.tripadvisor.com/Restaurant_Review-g60745-d321956-Reviews-Lucca-Boston_Massachusetts.html
85,https://www.tripadvisor.com/Restaurant_Review-g60745-d608389-Reviews-Douzo-Boston_Massachusetts.html
86,https://www.tripadvisor.com/Restaurant_Review-g60745-d8411345-Reviews-Committee-Boston_Massachusetts.html
87,https://www.tripadvisor.com/Restaurant_Review-g60745-d1605497-Reviews-Bistro_du_Midi-Boston_Massachusetts.html
88,https://www.tripadvisor.com/Restaurant_Review-g60745-d321605-Reviews-Legal_Sea_Foods-Boston_Massachusetts.html
89,https://www.tripadvisor.com/Restaurant_Review-g60745-d321982-Reviews-Charlie_s_Sandwich_Shoppe-Boston_Massachusetts.html
90,https://www.tripadvisor.com/Restaurant_Review-g60745-d321976-Reviews-No_9_Park-Boston_Massachusetts.html
91,https://www.tripadvisor.com/Restaurant_Review-g60745-d321932-Reviews-Maggiano_s_Little_Italy-Boston_Massachusetts.html
92,https://www.tripadvisor.com/Restaurant_Review-g60745-d323045-Reviews-Santarpio_s_Pizza-Boston_Massachusetts.html
93,https://www.tripadvisor.com/Restaurant_Review-g60745-d322993-Reviews-Lucia_Ristorante-Boston_Massachusetts.html
94,https://www.tripadvisor.com/Restaurant_Review-g60745-d4003290-Reviews-Boston_Chops-Boston_Massachusetts.html
96,https://www.tripadvisor.com/Restaurant_Review-g60745-d509436-Reviews-Thornton_s_Restaurant-Boston_Massachusetts.html
97,https://www.tripadvisor.com/Restaurant_Review-g60745-d1495466-Reviews-Panza-Boston_Massachusetts.html
98,https://www.tripadvisor.com/Restaurant_Review-g60745-d2663863-Reviews-Tasty_Burger-Boston_Massachusetts.html
99,https://www.tripadvisor.com/Restaurant_Review-g60745-d1020869-Reviews-The_Oceanaire_Seafood_Room-Boston_Massachusetts.html
100,https://www.tripadvisor.com/Restaurant_Review-g60745-d606218-Reviews-Ruth_s_Chris_Steak_House-Boston_Massachusetts.html
102,https://www.tripadvisor.com/Restaurant_Review-g60745-d322007-Reviews-Trattoria_Il_Panino-Boston_Massachusetts.html
103,https://www.tripadvisor.com/Restaurant_Review-g60745-d6522157-Reviews-Precinct_Kitchen_and_Bar-Boston_Massachusetts.html
104,https://www.tripadvisor.com/Restaurant_Review-g60745-d323006-Reviews-Trattoria_Di_Monica-Boston_Massachusetts.html
105,https://www.tripadvisor.com/Restaurant_Review-g60745-d526469-Reviews-Parker_s_Restaurant-Boston_Massachusetts.html
106,https://www.tripadvisor.com/Restaurant_Review-g60745-d6623669-Reviews-Legal_Sea_Foods-Boston_Massachusetts.html
107,https://www.tripadvisor.com/Restaurant_Review-g60745-d321971-Reviews-Aquitaine_Bar_a_Vin_Bistrot-Boston_Massachusetts.html
108,https://www.tripadvisor.com/Restaurant_Review-g60745-d7906359-Reviews-Select_Oyster_Bar-Boston_Massachusetts.html
109,https://www.tripadvisor.com/Restaurant_Review-g60745-d3371697-Reviews-Tip_Tap_Room-Boston_Massachusetts.html
110,https://www.tripadvisor.com/Restaurant_Review-g60745-d546065-Reviews-Bell_In_Hand_Tavern-Boston_Massachusetts.html
111,https://www.tripadvisor.com/Restaurant_Review-g60745-d3583775-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Boston_Massachusetts.html
