,Unnamed: 0,URL,address,signal
44,46,https://www.tripadvisor.com/Hotel_Review-g60745-d287606-Reviews-Kimpton_Onyx_Hotel-Boston_Massachusetts.html,"155 Portland St, Boston, MA 02114-1702",finish
45,47,https://www.tripadvisor.com/Hotel_Review-g60745-d94367-Reviews-Harborside_Inn-Boston_Massachusetts.html,"185 State Street, Boston, MA 02109-2627",finish
46,48,https://www.tripadvisor.com/Hotel_Review-g60745-d518130-Reviews-Boston_Yacht_Haven_Inn_Marina-Boston_Massachusetts.html,"87 Commercial Wharf, Boston, MA 02110-3800",finish
47,49,https://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html,"60 School Street, Boston, MA 02108-4109",finish
48,50,https://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html,"200 Stuart Street, Boston, MA 02116-5442",finish
49,51,https://www.tripadvisor.com/Hotel_Review-g60745-d8145467-Reviews-Element_Boston_Seaport_District-Boston_Massachusetts.html,"391-395 D Street, Boston, MA 02210-1907",finish
50,52,https://www.tripadvisor.com/Hotel_Review-g60745-d111417-Reviews-Boston_Marriott_Long_Wharf-Boston_Massachusetts.html,"296 State Street, Boston, MA 02109",finish
51,53,https://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html,"400 Soldiers Field Road Allston, Boston, MA 02134-1893",finish
52,54,https://www.tripadvisor.com/Hotel_Review-g60745-d21005926-Reviews-Home2_Suites_by_Hilton_Boston_South_Bay-Boston_Massachusetts.html,"15 Jan Karski Way, Boston, MA 02125-2693",finish
53,55,https://www.tripadvisor.com/Hotel_Review-g60745-d17768161-Reviews-Moxy_Boston_Downtown-Boston_Massachusetts.html,"240 Tremont Street, Boston, MA 02116",finish
54,57,https://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html,"821 Washington Street, Boston, MA 02111-1519",finish
55,58,https://www.tripadvisor.com/Hotel_Review-g60745-d320038-Reviews-Hampton_Inn_Suites_Boston_Crosstown_Center-Boston_Massachusetts.html,"811 Massachusetts Avenue, Boston, MA 02118-2605",finish
56,59,https://www.tripadvisor.com/Hotel_Review-g60745-d8145466-Reviews-Aloft_Boston_Seaport_District-Boston_Massachusetts.html,"401 D St # 403, Boston, MA 02210-1907",finish
57,60,https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html,"5 Blossom St, Boston, MA 02114-3106",finish
58,61,https://www.tripadvisor.com/Hotel_Review-g60745-d13351021-Reviews-AC_Hotel_by_Marriott_Boston_Cleveland_Circle-Boston_Massachusetts.html,"395 Chestnut Hill Ave, Boston, MA 02135-7769",finish
59,62,https://www.tripadvisor.com/Hotel_Review-g60745-d15618152-Reviews-Cambria_Hotel_Boston_Downtown-Boston_Massachusetts.html,"6 W Broadway, Boston, MA 02127-1016",finish
60,63,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html,"78 Charles St South, Boston, MA 02116-5443",finish
61,65,https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,"88 Exeter St, Boston, MA 02116-3504",finish
62,66,https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,"3 McKinley Square, Boston, MA 02109-2609",finish
63,67,https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html,"99 Saint Botolph St, Boston, MA 02116-6404",finish
64,68,https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html,"107 Merrimac St, Boston, MA 02114-4709",finish
65,69,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Studio_Allston_Hotel-Boston_Massachusetts.html,"1234 Soldiers Field Rd, Boston, MA 02135-1002",finish
66,71,https://www.tripadvisor.com/Hotel_Review-g60745-d280420-Reviews-The_College_Club_of_Boston-Boston_Massachusetts.html,"44 Commonwealth Ave, Boston, MA 02116-3104",finish
