,URL
149,https://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html
150,https://www.tripadvisor.com/Hotel_Review-g60745-d94372-Reviews-Boston_Hotel_Buckminster-Boston_Massachusetts.html
151,https://www.tripadvisor.com/Hotel_Review-g60745-d94350-Reviews-The_Midtown_Hotel-Boston_Massachusetts.html
152,https://www.tripadvisor.com/Hotel_Review-g60745-d222957-Reviews-Best_Western_Plus_Boston_Hotel-Boston_Massachusetts.html
154,https://www.tripadvisor.com/Hotel_Review-g60745-d118441-Reviews-Clarendon_Square-Boston_Massachusetts.html
155,https://www.tripadvisor.com/Hotel_Review-g60745-d777353-Reviews-Aisling-Boston_Massachusetts.html
156,https://www.tripadvisor.com/Hotel_Review-g60745-d254295-Reviews-Encore_Bed_and_Breakfast-Boston_Massachusetts.html
157,https://www.tripadvisor.com/Hotel_Review-g60745-d77601-Reviews-Gryphon_House-Boston_Massachusetts.html
158,https://www.tripadvisor.com/Hotel_Review-g60745-d13792675-Reviews-No_284-Boston_Massachusetts.html
159,https://www.tripadvisor.com/Hotel_Review-g60745-d7295026-Reviews-Moroccan_Luxury_Suites_Boston-Boston_Massachusetts.html
161,https://www.tripadvisor.com/Hotel_Review-g60745-d943435-Reviews-Caj_Guest_House_Worcester_Street-Boston_Massachusetts.html
162,https://www.tripadvisor.com/Hotel_Review-g60745-d7204025-Reviews-82_Chandler_Street_Bed_Breakfast-Boston_Massachusetts.html
163,https://www.tripadvisor.com/Hotel_Review-g60745-d649100-Reviews-Rutland_Square_House-Boston_Massachusetts.html
164,https://www.tripadvisor.com/Hotel_Review-g60745-d12643193-Reviews-Buckingham_Apartments-Boston_Massachusetts.html
165,https://www.tripadvisor.com/Hotel_Review-g60745-d10408215-Reviews-Bay_Village_Inn-Boston_Massachusetts.html
166,https://www.tripadvisor.com/Hotel_Review-g60745-d1422190-Reviews-Florence_Frances_Guest_House-Boston_Massachusetts.html
167,https://www.tripadvisor.com/Hotel_Review-g60745-d1628775-Reviews-Bayside_Club_Hotel-Boston_Massachusetts.html
168,https://www.tripadvisor.com/Hotel_Review-g60745-d12440618-Reviews-STR_Boston-Boston_Massachusetts.html
169,https://www.tripadvisor.com/Hotel_Review-g60745-d286508-Reviews-Casa_do_Zequita_Bed_Breakfast-Boston_Massachusetts.html
170,https://www.tripadvisor.com/Hotel_Review-g60745-d813646-Reviews-The_Boston_Christopher-Boston_Massachusetts.html
173,https://www.tripadvisor.com/Hotel_Review-g60745-d15113557-Reviews-Elm_Hill_Manor-Boston_Massachusetts.html
177,https://www.tripadvisor.com/Hotel_Review-g60745-d17510061-Reviews-Bay_Village_Suites-Boston_Massachusetts.html
178,https://www.tripadvisor.com/Hotel_Review-g60745-d21199627-Reviews-Sonder_Hancock_Suites-Boston_Massachusetts.html
183,https://www.tripadvisor.com/Hotel_Review-g60745-d1415084-Reviews-Churchill_at_Boston_View-Boston_Massachusetts.html
186,https://www.tripadvisor.com/Hotel_Review-g60745-d15641193-Reviews-Stay_Alfred_on_Canal_Street-Boston_Massachusetts.html
190,https://www.tripadvisor.com/Hotel_Review-g60745-d77602-Reviews-Rudy_s_Bed_and_Breakfast-Boston_Massachusetts.html
191,https://www.tripadvisor.com/Hotel_Review-g60745-d14655125-Reviews-Patrick_s_Homestay-Boston_Massachusetts.html
192,https://www.tripadvisor.com/Hotel_Review-g60745-d16935822-Reviews-Family_Apartments_In_Boston_By_Namastay-Boston_Massachusetts.html
193,https://www.tripadvisor.com/Hotel_Review-g60745-d478706-Reviews-Bunker_Hill_Bed_and_Breakfast-Boston_Massachusetts.html
194,https://www.tripadvisor.com/Hotel_Review-g60745-d12514053-Reviews-STR_Boston-Boston_Massachusetts.html
195,https://www.tripadvisor.com/Hotel_Review-g60745-d1931800-Reviews-East_Boston_B_B-Boston_Massachusetts.html
196,https://www.tripadvisor.com/Hotel_Review-g60745-d10170222-Reviews-BOS_Hostel-Boston_Massachusetts.html
197,https://www.tripadvisor.com/Hotel_Review-g60745-d17570039-Reviews-Savin_Hill_House-Boston_Massachusetts.html
198,https://www.tripadvisor.com/Hotel_Review-g60745-d15692493-Reviews-Executive_Luxury_Living_Boston-Boston_Massachusetts.html
199,https://www.tripadvisor.com/Hotel_Review-g60745-d15640955-Reviews-Global_Luxury_Suites_at_Boston_Harbor-Boston_Massachusetts.html
200,https://www.tripadvisor.com/Hotel_Review-g60745-d19007521-Reviews-Boston_Commons_Apartments_by_Barsala-Boston_Massachusetts.html
201,https://www.tripadvisor.com/Hotel_Review-g60745-d16877569-Reviews-Financial_District_Condos-Boston_Massachusetts.html
202,https://www.tripadvisor.com/Hotel_Review-g60745-d20099377-Reviews-Allston_Boston-Boston_Massachusetts.html
203,https://www.tripadvisor.com/Hotel_Review-g60745-d17539872-Reviews-102_Chandler_By_Live_Stay_Boston-Boston_Massachusetts.html
204,https://www.tripadvisor.com/Hotel_Review-g60745-d15405636-Reviews-Natalie_House-Boston_Massachusetts.html
205,https://www.tripadvisor.com/Hotel_Review-g60745-d12710301-Reviews-Global_Luxury_Suites_at_Longwood-Boston_Massachusetts.html
206,https://www.tripadvisor.com/Hotel_Review-g60745-d15631603-Reviews-Bluebird_Suites_at_Mission_Hill-Boston_Massachusetts.html
207,https://www.tripadvisor.com/Hotel_Review-g60745-d10209494-Reviews-Sunny_Hill_Garden_Suites-Boston_Massachusetts.html
208,https://www.tripadvisor.com/Hotel_Review-g60745-d2194559-Reviews-Friend_Street_Hostel-Boston_Massachusetts.html
209,https://www.tripadvisor.com/Hotel_Review-g60745-d2084713-Reviews-Royalton_Suites-Boston_Massachusetts.html
