,Unnamed: 0,Unnamed: 0.1,URL,address,signal
56,56,58,https://www.tripadvisor.com/Restaurant_Review-g60745-d535627-Reviews-Neptune_Oyster-Boston_Massachusetts.html,"63 Salem St Ste 1, Boston, MA 02113-2273",finish
57,57,59,https://www.tripadvisor.com/Restaurant_Review-g60745-d322988-Reviews-Giacomo-Boston_Massachusetts.html,"355 Hanover St, Boston, MA 02113-1910",finish
58,58,60,https://www.tripadvisor.com/Restaurant_Review-g60745-d322076-Reviews-Grotto-Boston_Massachusetts.html,"37 Bowdoin St, Boston, MA 02114-4201",finish
59,59,61,https://www.tripadvisor.com/Restaurant_Review-g60745-d322003-Reviews-Ristorante_Toscano-Boston_Massachusetts.html,"47 Charles St, Boston, MA 02114-4605",finish
60,60,62,https://www.tripadvisor.com/Restaurant_Review-g60745-d1992229-Reviews-Bleacher_Bar-Boston_Massachusetts.html,"82A Lansdowne St, Boston, MA 02215-3411",finish
61,61,64,https://www.tripadvisor.com/Restaurant_Review-g60745-d11894092-Reviews-Ruka_Restobar-Boston_Massachusetts.html,"505 Washington St The Godfrey Hotel, Boston, MA 02111-1211",finish
62,62,65,https://www.tripadvisor.com/Restaurant_Review-g60745-d4838745-Reviews-Row_34-Boston_Massachusetts.html,"383 Congress St, Boston, MA 02210-1811",finish
63,63,66,https://www.tripadvisor.com/Restaurant_Review-g60745-d2057105-Reviews-Benevento_s-Boston_Massachusetts.html,"111 Salem St, Boston, MA 02113-2245",finish
64,64,67,https://www.tripadvisor.com/Restaurant_Review-g60745-d1115352-Reviews-Mooo_Restaurant-Boston_Massachusetts.html,"15 Beacon St adjacent to the XV Beacon Hotel, Boston, MA 02108-2902",finish
65,65,68,https://www.tripadvisor.com/Restaurant_Review-g60745-d321953-Reviews-Limoncello-Boston_Massachusetts.html,"190 North St, Boston, MA 02113-2412",finish
66,66,70,https://www.tripadvisor.com/Restaurant_Review-g60745-d2096730-Reviews-Lolita_Cocina_Tequila_Bar-Boston_Massachusetts.html,"271 Dartmouth St, Boston, MA 02116-2837",finish
67,67,71,https://www.tripadvisor.com/Restaurant_Review-g60745-d7799157-Reviews-Brewer_s_Fork-Boston_Massachusetts.html,"7 Moulton St, Boston, MA 02129-3115",finish
68,68,72,https://www.tripadvisor.com/Restaurant_Review-g60745-d323395-Reviews-Delfino_Restaurant-Boston_Massachusetts.html,"754 South St, Boston, MA 02131-1740",finish
69,69,73,https://www.tripadvisor.com/Restaurant_Review-g60745-d5452431-Reviews-Locale_Boston-Boston_Massachusetts.html,"352 Hanover St, Boston, MA 02113-1911",finish
70,70,74,https://www.tripadvisor.com/Restaurant_Review-g60745-d323010-Reviews-Al_Dente-Boston_Massachusetts.html,"109 Salem St, Boston, MA 02113-2274",finish
71,71,75,https://www.tripadvisor.com/Restaurant_Review-g60745-d323165-Reviews-UNI-Boston_Massachusetts.html,"370A Commonwealth Ave The Eliot Hotel, Boston, MA 02215",finish
72,72,76,https://www.tripadvisor.com/Restaurant_Review-g60745-d1141527-Reviews-Nico-Boston_Massachusetts.html,"417 Hanover St, Boston, MA 02113-1319",finish
73,73,77,https://www.tripadvisor.com/Restaurant_Review-g60745-d321941-Reviews-La_Famiglia_Giorgio_s-Boston_Massachusetts.html,"112 Salem St, Boston, MA 02113-1705",finish
74,74,78,https://www.tripadvisor.com/Restaurant_Review-g60745-d1228651-Reviews-Pho_Basil-Boston_Massachusetts.html,"177A Massachusetts Ave, Boston, MA 02115-3009",finish
75,75,79,https://www.tripadvisor.com/Restaurant_Review-g60745-d322995-Reviews-Cantina_Italiana-Boston_Massachusetts.html,"346 Hanover St, Boston, MA 02113-1911",finish
76,76,80,https://www.tripadvisor.com/Restaurant_Review-g60745-d941546-Reviews-Morton_s_The_Steakhouse-Boston_Massachusetts.html,"2 Seaport Ln 2 Seaport Lane, Boston, MA 02210-2001",finish
77,77,81,https://www.tripadvisor.com/Restaurant_Review-g60745-d2249802-Reviews-The_Salty_Pig-Boston_Massachusetts.html,"130 Dartmouth St, Boston, MA 02116-5118",finish
78,78,82,https://www.tripadvisor.com/Restaurant_Review-g60745-d1034374-Reviews-Scampo-Boston_Massachusetts.html,"215 Charles St Liberty Hotel, Boston, MA 02114-3001",finish
79,79,83,https://www.tripadvisor.com/Restaurant_Review-g60745-d526410-Reviews-Mr_Dooley_s_Boston_Tavern-Boston_Massachusetts.html,"77 Broad St, Boston, MA 02109-4808",finish
80,80,84,https://www.tripadvisor.com/Restaurant_Review-g60745-d321956-Reviews-Lucca-Boston_Massachusetts.html,"226 Hanover St, Boston, MA 02113-2302",finish
81,81,85,https://www.tripadvisor.com/Restaurant_Review-g60745-d608389-Reviews-Douzo-Boston_Massachusetts.html,"131 Dartmouth St, Boston, MA 02116-5297",finish
82,82,86,https://www.tripadvisor.com/Restaurant_Review-g60745-d8411345-Reviews-Committee-Boston_Massachusetts.html,"50 Northern Ave, Boston, MA 02210-1862",finish
83,83,87,https://www.tripadvisor.com/Restaurant_Review-g60745-d1605497-Reviews-Bistro_du_Midi-Boston_Massachusetts.html,"272 Boylston St, Boston, MA 02116-3917",finish
84,84,88,https://www.tripadvisor.com/Restaurant_Review-g60745-d321605-Reviews-Legal_Sea_Foods-Boston_Massachusetts.html,"255 State St Long Wharf, Boston, MA 02109-2617",finish
85,85,89,https://www.tripadvisor.com/Restaurant_Review-g60745-d321982-Reviews-Charlie_s_Sandwich_Shoppe-Boston_Massachusetts.html,"429 Columbus Ave Ste 1, Boston, MA 02116-5959",finish
86,86,90,https://www.tripadvisor.com/Restaurant_Review-g60745-d321976-Reviews-No_9_Park-Boston_Massachusetts.html,"9 Park St, Boston, MA 02108-4804",finish
87,87,91,https://www.tripadvisor.com/Restaurant_Review-g60745-d321932-Reviews-Maggiano_s_Little_Italy-Boston_Massachusetts.html,"4 Columbus Ave, Boston, MA 02116-3910",finish
88,88,92,https://www.tripadvisor.com/Restaurant_Review-g60745-d323045-Reviews-Santarpio_s_Pizza-Boston_Massachusetts.html,"111 Chelsea St, Boston, MA 02128-1937",finish
89,89,93,https://www.tripadvisor.com/Restaurant_Review-g60745-d322993-Reviews-Lucia_Ristorante-Boston_Massachusetts.html,"415 Hanover St North End, Boston, MA 02113-1319",finish
90,90,94,https://www.tripadvisor.com/Restaurant_Review-g60745-d4003290-Reviews-Boston_Chops-Boston_Massachusetts.html,"1375 Washington St, Boston, MA 02118-2140",finish
91,91,96,https://www.tripadvisor.com/Restaurant_Review-g60745-d509436-Reviews-Thornton_s_Restaurant-Boston_Massachusetts.html,"150 Huntington Ave, Boston, MA 02115-4808",finish
92,92,97,https://www.tripadvisor.com/Restaurant_Review-g60745-d1495466-Reviews-Panza-Boston_Massachusetts.html,"326 Hanover St, Boston, MA 02113-1901",finish
93,93,98,https://www.tripadvisor.com/Restaurant_Review-g60745-d2663863-Reviews-Tasty_Burger-Boston_Massachusetts.html,"1301 Boylston Street, Boston, MA 02215-3909",finish
94,94,99,https://www.tripadvisor.com/Restaurant_Review-g60745-d1020869-Reviews-The_Oceanaire_Seafood_Room-Boston_Massachusetts.html,"40 Court St, Boston, MA 02108",finish
95,95,100,https://www.tripadvisor.com/Restaurant_Review-g60745-d606218-Reviews-Ruth_s_Chris_Steak_House-Boston_Massachusetts.html,"45 School Street Old City Hall, Boston, MA 02108",finish
96,96,102,https://www.tripadvisor.com/Restaurant_Review-g60745-d322007-Reviews-Trattoria_Il_Panino-Boston_Massachusetts.html,"11 Parmenter St 280 Hanover St, Boston, MA 02113-2306",finish
97,97,103,https://www.tripadvisor.com/Restaurant_Review-g60745-d6522157-Reviews-Precinct_Kitchen_and_Bar-Boston_Massachusetts.html,"154 Berkeley St, Boston, MA 02116-5107",finish
98,98,104,https://www.tripadvisor.com/Restaurant_Review-g60745-d323006-Reviews-Trattoria_Di_Monica-Boston_Massachusetts.html,"67 Prince St, Boston, MA 02113-1827",finish
99,99,105,https://www.tripadvisor.com/Restaurant_Review-g60745-d526469-Reviews-Parker_s_Restaurant-Boston_Massachusetts.html,"60 School St Omni Hotel, Boston, MA 02108-4109",finish
100,100,106,https://www.tripadvisor.com/Restaurant_Review-g60745-d6623669-Reviews-Legal_Sea_Foods-Boston_Massachusetts.html,"1 Harborside Dr Logan Airport, Terminal E, Boston, MA 02128-2907",finish
101,101,107,https://www.tripadvisor.com/Restaurant_Review-g60745-d321971-Reviews-Aquitaine_Bar_a_Vin_Bistrot-Boston_Massachusetts.html,"569 Tremont St, Boston, MA 02118-3721",finish
102,102,108,https://www.tripadvisor.com/Restaurant_Review-g60745-d7906359-Reviews-Select_Oyster_Bar-Boston_Massachusetts.html,"50 Gloucester St, Boston, MA 02115-3141",finish
103,103,109,https://www.tripadvisor.com/Restaurant_Review-g60745-d3371697-Reviews-Tip_Tap_Room-Boston_Massachusetts.html,"138 Cambridge St, Boston, MA 02114-2711",finish
104,104,110,https://www.tripadvisor.com/Restaurant_Review-g60745-d546065-Reviews-Bell_In_Hand_Tavern-Boston_Massachusetts.html,"45 Union St, Boston, MA 02108-2409",finish
105,105,111,https://www.tripadvisor.com/Restaurant_Review-g60745-d3583775-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Boston_Massachusetts.html,"200 Dartmouth St, Boston, MA 02116-3501",finish
106,106,112,https://www.tripadvisor.com/Restaurant_Review-g60745-d3751006-Reviews-Lincoln_Tavern_and_Restaurant-Boston_Massachusetts.html,"425 W Broadway, Boston, MA 02127-2218",finish
107,107,113,https://www.tripadvisor.com/Restaurant_Review-g60745-d323008-Reviews-Artu-Boston_Massachusetts.html,"6 Prince St, Boston, MA 02113-2409",finish
108,108,114,https://www.tripadvisor.com/Restaurant_Review-g60745-d637241-Reviews-Oishii_Boston-Boston_Massachusetts.html,"1166 Washington St, Boston, MA 02118-4113",finish
109,109,115,https://www.tripadvisor.com/Restaurant_Review-g60745-d321626-Reviews-Union_Oyster_House-Boston_Massachusetts.html,"41 Union St, Boston, MA 02108-2494",finish
110,110,116,https://www.tripadvisor.com/Restaurant_Review-g60745-d480029-Reviews-Summer_Shack-Boston_Massachusetts.html,"50 Dalton St Ste 2, Boston, MA 02115-3129",finish
111,111,117,https://www.tripadvisor.com/Restaurant_Review-g60745-d3863148-Reviews-Abby_Lane_Food_Spirits-Boston_Massachusetts.html,"255 Tremont St, Boston, MA 02116-5607",finish
112,112,118,https://www.tripadvisor.com/Restaurant_Review-g60745-d819879-Reviews-Lucca_Back_Bay-Boston_Massachusetts.html,"116 Huntington Ave, Boston, MA 02116-5749",finish
113,113,119,https://www.tripadvisor.com/Restaurant_Review-g60745-d1309070-Reviews-Petit_Robert_Bistro-Boston_Massachusetts.html,"480 Columbus Ave, Boston, MA 02118-3138",finish
114,114,120,https://www.tripadvisor.com/Restaurant_Review-g60745-d552331-Reviews-The_Elephant_Walk_South_End-Boston_Massachusetts.html,"1415 Washington St, Boston, MA 02118-2009",finish
115,115,121,https://www.tripadvisor.com/Restaurant_Review-g60745-d2455327-Reviews-Sweet_Cheeks_Q-Boston_Massachusetts.html,"1381 Boylston St, Boston, MA 02215-3936",finish
116,116,122,https://www.tripadvisor.com/Restaurant_Review-g60745-d482395-Reviews-South_Street_Diner-Boston_Massachusetts.html,"178 Kneeland St, Boston, MA 02111-2715",finish
117,117,123,https://www.tripadvisor.com/Restaurant_Review-g60745-d2138841-Reviews-Legal_Sea_Foods_Harborside-Boston_Massachusetts.html,"270 Northern Ave Liberty Wharf, Boston, MA 02210-2022",finish
118,118,124,https://www.tripadvisor.com/Restaurant_Review-g60745-d322009-Reviews-Antico_Forno-Boston_Massachusetts.html,"93 Salem St Outside Dining Available, Boston, MA 02113-2217",finish
119,119,125,https://www.tripadvisor.com/Restaurant_Review-g60745-d322034-Reviews-Florentine_Cafe-Boston_Massachusetts.html,"333 Hanover St, Boston, MA 02113-1910",finish
120,120,126,https://www.tripadvisor.com/Restaurant_Review-g60745-d8711593-Reviews-Wahlburgers-Boston_Massachusetts.html,"132 Brookline Ave Fenway Park Area, Boston, MA 02215-3907",finish
121,121,128,https://www.tripadvisor.com/Restaurant_Review-g60745-d789610-Reviews-Cask_n_Flagon-Boston_Massachusetts.html,"62 Brookline Ave, Boston, MA 02215-3402",finish
122,122,129,https://www.tripadvisor.com/Restaurant_Review-g60745-d503318-Reviews-The_Black_Rose-Boston_Massachusetts.html,"160 State St, Boston, MA 02109-2502",finish
123,123,130,https://www.tripadvisor.com/Restaurant_Review-g60745-d321958-Reviews-Piattini_Wine_Cafe-Boston_Massachusetts.html,"226 Newbury St, Boston, MA 02116-2565",finish
124,124,131,https://www.tripadvisor.com/Restaurant_Review-g60745-d321903-Reviews-Rowes_Wharf_Sea_Grille-Boston_Massachusetts.html,"70 Rowes Wharf, Boston, MA 02110-3300",finish
125,125,132,https://www.tripadvisor.com/Restaurant_Review-g60745-d2425427-Reviews-Smith_Wollensky_Boston_Atlantic_Wharf-Boston_Massachusetts.html,"294 Congress St Atlantic Wharf Boston, Boston, MA 02210-1003",finish
126,126,134,https://www.tripadvisor.com/Restaurant_Review-g60745-d323009-Reviews-Strega-Boston_Massachusetts.html,"379 Hanover St, Boston, MA 02113-1907",finish
127,127,135,https://www.tripadvisor.com/Restaurant_Review-g60745-d2136246-Reviews-The_Haven-Boston_Massachusetts.html,"2 Perkins St Jamaica Plain, Boston, MA 02130-1109",finish
128,128,136,https://www.tripadvisor.com/Restaurant_Review-g60745-d14972321-Reviews-Chickadee-Boston_Massachusetts.html,"21 Drydock Ave, Boston, MA 02210-2384",finish
129,129,137,https://www.tripadvisor.com/Restaurant_Review-g60745-d322156-Reviews-Ristorante_Saraceno-Boston_Massachusetts.html,"286 Hanover St, Boston, MA 02113-1804",finish
130,130,138,https://www.tripadvisor.com/Restaurant_Review-g60745-d2279941-Reviews-Yard_House-Boston_Massachusetts.html,"126 Brookline Ave, Boston, MA 02215-3920",finish
131,131,139,https://www.tripadvisor.com/Restaurant_Review-g60745-d323085-Reviews-Stockyard_Restaurant-Boston_Massachusetts.html,"135 Market St, Boston, MA 02135-2085",finish
132,132,140,https://www.tripadvisor.com/Restaurant_Review-g60745-d1390678-Reviews-North_26_Restaurant_and_Bar-Boston_Massachusetts.html,"26 North St The Millennium Bostonian Hotel, Boston, MA 02109-1503",finish
133,133,141,https://www.tripadvisor.com/Restaurant_Review-g60745-d322041-Reviews-FIGS_by_Todd_English-Boston_Massachusetts.html,"42 Charles St, Boston, MA 02114-4604",finish
134,134,142,https://www.tripadvisor.com/Restaurant_Review-g60745-d797942-Reviews-The_Beehive-Boston_Massachusetts.html,"541 Tremont St, Boston, MA 02116-6306",finish
135,135,143,https://www.tripadvisor.com/Restaurant_Review-g60745-d321972-Reviews-Joe_s_American_Bar_Grill-Boston_Massachusetts.html,"181 Newbury Street, Boston, MA 02116",finish
