,POINT_X,POINT_Y,FID,Join_Count,TARGET_FID
116,-83.121262739,42.6893642747,116,1,116
117,-83.1180465906,42.6893642747,117,1,117
118,-83.1148304422,42.6893642747,118,1,118
119,-83.1116142939,42.6893642747,119,1,119
120,-83.1083981455,42.6893642747,120,1,120
121,-83.1051819971,42.6893642747,121,1,121
122,-83.1019658487,42.6893642747,122,1,122
123,-83.0987497003,42.6893642747,123,1,123
124,-83.095533552,42.6893642747,124,1,124
125,-83.0923174036,42.6893642747,125,0,125
126,-83.146991926,42.6917368362,126,1,126
127,-83.1437757777,42.6917368362,127,1,127
128,-83.1405596293,42.6917368362,128,1,128
129,-83.1373434809,42.6917368362,129,1,129
130,-83.1341273325,42.6917368362,130,1,130
131,-83.1309111841,42.6917368362,131,1,131
132,-83.1276950358,42.6917368362,132,1,132
133,-83.1244788874,42.6917368362,133,1,133
134,-83.121262739,42.6917368362,134,1,134
135,-83.1180465906,42.6917368362,135,1,135
136,-83.1148304422,42.6917368362,136,1,136
137,-83.1116142939,42.6917368362,137,1,137
138,-83.1083981455,42.6917368362,138,1,138
139,-83.1051819971,42.6917368362,139,1,139
140,-83.1019658487,42.6917368362,140,1,140
141,-83.0987497003,42.6917368362,141,1,141
142,-83.095533552,42.6917368362,142,1,142
143,-83.0923174036,42.6917368362,143,0,143
144,-83.146991926,42.6941093064,144,0,144
145,-83.1437757777,42.6941093064,145,1,145
146,-83.1405596293,42.6941093064,146,0,146
147,-83.1373434809,42.6941093064,147,0,147
148,-83.1341273325,42.6941093064,148,0,148
149,-83.1309111841,42.6941093064,149,0,149
150,-83.1276950358,42.6941093064,150,0,150
151,-83.1244788874,42.6941093064,151,1,151
152,-83.121262739,42.6941093064,152,1,152
153,-83.1180465906,42.6941093064,153,1,153
154,-83.1148304422,42.6941093064,154,1,154
155,-83.1116142939,42.6941093064,155,1,155
156,-83.1083981455,42.6941093064,156,1,156
157,-83.1051819971,42.6941093064,157,1,157
158,-83.1019658487,42.6941093064,158,1,158
159,-83.0987497003,42.6941093064,159,1,159
160,-83.095533552,42.6941093064,160,1,160
161,-83.0923174036,42.6941093064,161,0,161
162,-83.146991926,42.6964816853,162,0,162
163,-83.1437757777,42.6964816853,163,0,163
164,-83.1405596293,42.6964816853,164,0,164
165,-83.1373434809,42.6964816853,165,0,165
166,-83.1341273325,42.6964816853,166,0,166
167,-83.1309111841,42.6964816853,167,0,167
168,-83.1276950358,42.6964816853,168,0,168
169,-83.1244788874,42.6964816853,169,1,169
170,-83.121262739,42.6964816853,170,1,170
171,-83.1180465906,42.6964816853,171,1,171
172,-83.1148304422,42.6964816853,172,1,172
173,-83.1116142939,42.6964816853,173,1,173
174,-83.1083981455,42.6964816853,174,1,174
175,-83.1051819971,42.6964816853,175,1,175
176,-83.1019658487,42.6964816853,176,1,176
177,-83.0987497003,42.6964816853,177,1,177
178,-83.095533552,42.6964816853,178,1,178
179,-83.0923174036,42.6964816853,179,0,179
180,-83.146991926,42.6988539729,180,0,180
181,-83.1437757777,42.6988539729,181,0,181
182,-83.1405596293,42.6988539729,182,0,182
183,-83.1373434809,42.6988539729,183,0,183
184,-83.1341273325,42.6988539729,184,0,184
185,-83.1309111841,42.6988539729,185,0,185
186,-83.1276950358,42.6988539729,186,0,186
187,-83.1244788874,42.6988539729,187,0,187
188,-83.121262739,42.6988539729,188,0,188
189,-83.1180465906,42.6988539729,189,0,189
190,-83.1148304422,42.6988539729,190,0,190
191,-83.1116142939,42.6988539729,191,1,191
192,-83.1083981455,42.6988539729,192,1,192
193,-83.1051819971,42.6988539729,193,1,193
194,-83.1019658487,42.6988539729,194,1,194
195,-83.0987497003,42.6988539729,195,1,195
196,-83.095533552,42.6988539729,196,1,196
197,-83.0923174036,42.6988539729,197,0,197
198,-83.146991926,42.7012261692,198,0,198
199,-83.1437757777,42.7012261692,199,0,199
200,-83.1405596293,42.7012261692,200,0,200
201,-83.1373434809,42.7012261692,201,0,201
202,-83.1341273325,42.7012261692,202,0,202
203,-83.1309111841,42.7012261692,203,0,203
204,-83.1276950358,42.7012261692,204,0,204
205,-83.1244788874,42.7012261692,205,0,205
206,-83.121262739,42.7012261692,206,0,206
207,-83.1180465906,42.7012261692,207,0,207
208,-83.1148304422,42.7012261692,208,0,208
209,-83.1116142939,42.7012261692,209,0,209
210,-83.1083981455,42.7012261692,210,1,210
211,-83.1051819971,42.7012261692,211,1,211
212,-83.1019658487,42.7012261692,212,1,212
213,-83.0987497003,42.7012261692,213,1,213
214,-83.095533552,42.7012261692,214,1,214
215,-83.0923174036,42.7012261692,215,0,215
216,-83.146991926,42.7035982742,216,0,216
217,-83.1437757777,42.7035982742,217,0,217
218,-83.1405596293,42.7035982742,218,0,218
219,-83.1373434809,42.7035982742,219,0,219
220,-83.1341273325,42.7035982742,220,0,220
221,-83.1309111841,42.7035982742,221,0,221
222,-83.1276950358,42.7035982742,222,0,222
223,-83.1244788874,42.7035982742,223,0,223
224,-83.121262739,42.7035982742,224,0,224
225,-83.1180465906,42.7035982742,225,0,225
226,-83.1148304422,42.7035982742,226,0,226
227,-83.1116142939,42.7035982742,227,0,227
228,-83.1083981455,42.7035982742,228,0,228
229,-83.1051819971,42.7035982742,229,1,229
230,-83.1019658487,42.7035982742,230,1,230
231,-83.0987497003,42.7035982742,231,1,231
232,-83.095533552,42.7035982742,232,1,232
233,-83.0923174036,42.7035982742,233,0,233
